u(t),theta,theta_dot
0.0,-1.5707963267948966,0.0
0.0,-1.5707963267948966,0.0
0.0,-1.5707963267948966,0.0
0.0,-1.5707963267948966,0.0
-0.21690820087907958,-1.5707963267948966,0.0
-0.5735674106608796,-1.569962296645678,0.1812045301940779
-0.6180646800760705,-1.5631991804197207,0.46146718523612934
-0.4565862191533151,-1.5521603435392322,0.6216598254558343
-0.2794178267349382,-1.539298579618442,0.6752860662948205
-0.1459578975802749,-1.5267244738711425,0.5825951597076334
-0.09558098939052381,-1.5166537347816302,0.4253057592903313
-0.09908024580800555,-1.5102332635452425,0.21255071605648918
-0.12357027013626415,-1.507953691921087,0.010693134593376697
-0.14137122892335513,-1.5097389240467045,-0.19557524641260815
-0.18173041243166702,-1.515508803973702,-0.3629860696993469
-0.19865938370825786,-1.5240578880772784,-0.4857889555576918
-0.1199384398650024,-1.5345923283047231,-0.5670454398650225
-0.10407782129892434,-1.546900467683231,-0.6676878642082318
-0.1651879536277205,-1.5599164153252645,-0.6608967350075448
-0.16159064647846832,-1.5727786299465134,-0.6031221025548452
-0.23043725418419417,-1.583979673147482,-0.497054753915726
-0.20575955282796687,-1.5919499050820025,-0.2944197167294036
-0.014771094847795124,-1.596289029332502,-0.14807220921570596
0.038252096574664315,-1.5983833451533802,-0.07163807158335786
0.017073283229404254,-1.598636719137643,0.04572080112089422
0.08380786332931427,-1.59658704448077,0.13894209617827946
0.10008044348309257,-1.5933628942853004,0.1831633955358295
0.07634859281065547,-1.5889437695485205,0.23442619045293647
0.08849924014785564,-1.583995630838876,0.26247911833573306
0.12295176218600282,-1.5785435861912525,0.261954262519637
0.13694484224398248,-1.5738480071308096,0.2183624546248663
0.12720451558249807,-1.56990238943091,0.16779417537018693
0.11071102350397287,-1.5672780354886038,0.10225218723944637
0.0811892303758558,-1.565836730494798,0.04515676574883251
0.07680613434759928,-1.5653915909273477,-0.006530686412365545
0.05457984269192501,-1.5660390589147584,-0.062205439850036896
0.029139418158585437,-1.567662950996612,-0.0886922154425285
0.03846142911625473,-1.5695849783730424,-0.11008128932659851
0.03933475695900041,-1.5720924426173941,-0.12754488365794545
0.019407572136883114,-1.5746750833234238,-0.12956178179212816
0.01775863726784805,-1.5771716745404025,-0.10908333243807238
0.012627774191955633,-1.579112368725625,-0.09041243812935529
0.006172096516048574,-1.5804077598465633,-0.05033981858542993
0.035400355474262714,-1.5811325854286482,-0.015927692596227717
0.04721528203525151,-1.5812347003880838,0.004615890299045683
0.04236934577729317,-1.580881489088974,0.029563622832886223
0.0634917189157513,-1.5801735989036163,0.05099417364214216
0.06141393695375773,-1.579108617335386,0.051813965603553135
0.055972068486488495,-1.5779858140094956,0.06658558177406843
0.07634218431151248,-1.5766049480401827,0.06204993650545898
0.08752088638565234,-1.5755139721953468,0.04934980391518249
0.08445334945966013,-1.5747491101186997,0.02673538602337836
0.06073876050634256,-1.5743864319426637,0.010822889190210674
0.03771002171019146,-1.5742017277836473,0.005158822134208584
0.03267231135271904,-1.5740677458654193,0.007056033932902139
0.03926209404588928,-1.5739388209813938,0.004486796060726939
