u(t),theta,theta_dot
-0.018755406930539793,-1.5705313020757299,0.01513164700117113
0.0,-1.5702448528962214,0.013280980282057427
0.0,-1.5700069133712227,0.010365506398169537
0.0,-1.569836115728372,0.006628537950984004
0.0,-1.569745124793263,0.002402019581395405
0.0,-1.5697400746447066,-0.0019685100037284565
0.0,-1.5698216697625587,-0.00612694111501636
0.0,-1.5699824620016802,-0.009742265463416383
0.0,-1.5702069799926073,-0.01252290774028729
0.0,-1.5704764726336953,-0.014256754017665879
0.0,-1.570769045137186,-0.014802689108653028
0.0,-1.5710608167321922,-0.014132937325577632
0.0,-1.5713275856809799,-0.012331005436821047
0.0,-1.57154810726757,-0.009549740661842703
0.0,-1.5717044843502639,-0.006014892693129962
0.0,-1.5717851328332664,-0.002027160468374095
0.0,-1.5717850975472132,0.0020736852204800114
0.0,-1.571704653119612,0.005957332302976623
0.0,-1.5715503471795393,0.009310441274046906
0.0,-1.571336269237149,0.01186860532232068
0.0,-1.571081448110768,0.013435974243102184
0.0,-1.5708064452618338,0.013890544820697882
0.0,-1.5705335265648217,0.013200616554717132
0.0,-1.5702851173250836,0.011447300239222111
0.0,-1.5700808867058023,0.008791295681221173
0.0,-1.569937569947028,0.005448249533840505
0.0,-1.5698661795319477,0.0016915389236061267
0.0,-1.5698709882315747,-0.002155826648616313
0.0,-1.5699504877687698,-0.005783007969909195
0.0,-1.5700983069791632,-0.008894158981436109
0.0,-1.5703018321274482,-0.011245225719108
0.0,-1.5705427411265074,-0.012657572062310479
0.0,-1.5708013282682465,-0.013028122020445766
0.0,-1.5710565543928845,-0.012326524829330025
0.0,-1.5712878569061066,-0.010625666894361566
0.0,-1.5714766774189377,-0.008089474299008765
0.0,-1.571608056362339,-0.004926477900758675
0.0,-1.5716712635457337,-0.0013918735921116983
0.0,-1.5716623549088589,0.0022204311827088725
0.0,-1.5715837250448446,0.005604565312485072
0.0,-1.5714420489623233,0.008493219900921788
0.0,-1.5712489088140127,0.010653430695822442
0.0,-1.5710210866175025,0.011922580170515007
0.0,-1.5707779305377845,0.012214314881193813
0.0,-1.5705391833417464,0.011506658765647201
0.0,-1.570324024512717,0.009862354394695804
0.0,-1.5701496845087488,0.007438086712932829
0.0,-1.5700293584269693,0.004443267602418715
0.0,-1.5699732410416225,0.0011198798658082288
0.027400387621295763,-1.56998550605285,-0.0022654977936606407
0.8381426069931135,-1.5700906337449543,-0.02848108027901279
1.5741852494606636,-1.5769690726788008,-0.6989515876058593
1.4689810900308828,-1.596848427511049,-1.2662455460347652
1.3990941644089292,-1.6264773760285727,-1.6759929679871093
1.4493509891254905,-1.6625925944536528,-1.9345888425294588
1.5140077917596184,-1.7028952772173163,-2.0832864490390586
1.4747120414313009,-1.7443271232640576,-2.062244742510532
1.3550516484368869,-1.7838589283002992,-1.8381664055737028
1.336487439786311,-1.816639540596065,-1.4027753754388734
1.4055671569951071,-1.8398355474311563,-0.9053397900520098
1.4441667693821838,-1.8523394002749831,-0.3475657743129398
1.4731497657157588,-1.853726547323432,0.2091512784568386
1.4681610930844717,-1.8441452329313797,0.7426171434273506
1.5331478883618896,-1.8245596301239442,1.2139348476790552
1.5788567267808251,-1.7969492954375708,1.5247482970017212
1.5294260505424693,-1.764058609094509,1.7258260784805666
1.5335949204093215,-1.7287399066953184,1.8032318681559598
1.5009543210992486,-1.6935849329701573,1.7082995365902933
