u(t),theta,theta_dot
7.930553801394756,-1.5707963267948966,0.1357230035110064
8.893959384959627,-1.5621573957434698,0.11991086053761446
5.76678311520189,-1.5544498617251237,0.10867410477185187
8.397563502481534,-1.5471313679960492,0.09931378940191524
5.359227841838743,-1.541017977674309,0.0832446229886176
0.6447778349848263,-1.5362201273643725,0.0551891827878642
-1.1345064083251004,-1.5342046766525146,0.005506689573662259
-2.9550217208718843,-1.532744456484601,0.022269157166313364
-1.396743353392967,-1.5319083398674673,-0.0002073002704905158
-2.6155692716956502,-1.5329689659186845,-0.02052300710759886
-1.1983241891936238,-1.5352499731896898,-0.047578497167507915
-8.317105199224478,-1.5398972603355605,-0.06928179192765883
-7.156427832361236,-1.54752009914829,-0.1578287358861915
-8.176388026153354,-1.5580247389469788,-0.1602880416186434
-8.46940237892254,-1.5661088703586015,-0.1366761886837308
-6.146425103375164,-1.5737327293524932,-0.08486869599741297
-3.2520626387401177,-1.5786068621649576,-0.07889650331423909
7.098329947670975,-1.584884764484985,-0.08071873241249707
4.489634110192947,-1.5911970722531146,-0.12987656206228468
4.436322128324748,-1.5964491642548888,0.0024108850006333326
12.165219906532371,-1.596198811594613,0.007839347607618211
12.331619828229174,-1.5955875368604333,0.01575480549870699
11.798602043832583,-1.5945175474449695,0.02901552860959084
-13.286807867426893,-1.592738554888458,0.027093590913159472
13.189366744876981,-1.5912392703027722,0.012350807862013438
14.196616148435089,-1.5911266404998288,-0.004447590723017325
-1.8890502022686733,-1.5922785815615685,-0.003902239976484959
-4.46495074180966,-1.591937232485596,0.029337771018204388
2.656592776804076,-1.5889425797184074,0.06794582439448141
4.032086683437862,-1.5839042652326798,0.07195566179449912
8.053313220286752,-1.579357171980381,0.07427493527007918
-6.467656863589326,-1.5759695789667623,0.07451154956921369
-4.899307654336276,-1.5698392572742763,0.09844906890708038
-5.356945383460133,-1.562907513692883,0.113000392091847
-7.78949605845066,-1.555071931321183,0.12182635920602128
-6.3113665018424925,-1.5460608607946964,0.16128970020701133
-5.660620310539427,-1.5334414262140235,0.16229458637637192
-7.40798823510126,-1.5228475550099942,0.17044197563641236
-7.558964116064551,-1.514160305020888,0.142281325811655
-6.393188035869617,-1.507703868305214,0.1239132872872041
-6.539704013354914,-1.501786095523937,0.06819256044305852
-7.526801642872271,-1.4982100431551773,0.05115382277392956
2.7962029435143387,-1.4962917956533233,0.03763695503584845
2.2468725901146853,-1.4934307605298114,0.031624671164290866
1.947244855677865,-1.491228688294873,0.026383418795551637
2.7225386819369053,-1.4901526848952604,0.004481889783279985
1.9237304919955753,-1.492131803823998,-0.0637261683271989
3.218499365827049,-1.4998559496615533,-0.1486909928697012
1.8001152277154624,-1.510902999529774,-0.14167329856469274
8.407462900354382,-1.5201997369734928,-0.1387821340211832
-1.4242803006370066,-1.5277916528230642,-0.08239538964669038
-2.6135944452568602,-1.5347906781570346,-0.13998990526146654
-8.03350294868737,-1.5443302507641383,-0.15266433030788817
-6.9182953957520725,-1.5560719798921423,-0.18635374150322456
-9.121437198612332,-1.5677629898922385,-0.14994989208216994
-7.220612776854257,-1.5766595292408623,-0.17168483592474149
-7.824898123950158,-1.5880439988151764,-0.17109079928391308
-10.12393122053201,-1.6042104562354864,-0.263067540315641
-10.579283052442783,-1.6213343070829012,-0.24297297651118355
-11.544096417038906,-1.636822699014099,-0.20450124370061656
-10.258970919527302,-1.6470958979484343,-0.11659367399812137
-13.148101093184096,-1.65332491151451,-0.06522186446366597
-5.21971285957336,-1.6575902858912075,-0.06224260690125852
-7.311734194840183,-1.661015612782738,-0.022282493181628286
-4.544082148635133,-1.6612013715881055,0.022244629863047857
7.488852874053002,-1.6584751923157428,0.060869128419348086
7.110723798070483,-1.6547263821411797,0.06459127062766576
-12.809213213437303,-1.648509810207023,0.14615193492874873
-8.83518890584334,-1.635384151579812,0.225375709880992
-9.22004036906485,-1.6192007494706728,0.2640062396786805
-11.253136760728077,-1.59999414155548,0.3004166238730866
