u(t),theta,theta_dot
8.37971421462301,-1.5707963267948966,-0.4866704558993129
7.169377188617556,-1.603122915193522,-0.47443587399859444
6.08393047660334,-1.6326999783570997,-0.41204135514017964
6.371088887447854,-1.6582828411381758,-0.35734466791842845
6.506104785381202,-1.6823602528643502,-0.3336521627712705
-7.3994821671179025,-1.70293712654705,-0.2894203408147953
-8.476951849860534,-1.7223187210810964,-0.34280914347818897
-7.279622279118536,-1.742246683561667,-0.2765231144952581
-7.8574439509240195,-1.7593120355610883,-0.18440904301884253
-8.611958441166854,-1.771180554040438,-0.17367658520810497
-1.24238612678888,-1.780572968477867,-0.08379562470908737
-2.619279546215812,-1.783293408534294,-0.0016622801927636828
-3.4714432632982914,-1.7800541872373579,0.11716034694564
8.146074515858015,-1.7675312745054959,0.28756001885871085
-9.303246043654399,-1.7500271900668216,0.3360432471552329
-8.195091184414995,-1.7283528914693471,0.302898158108796
-10.21408526783432,-1.7008830022506334,0.4013242693049381
-8.651021210698627,-1.6726540689973917,0.5061038751533689
-9.41250162343822,-1.642018559110705,0.4275817583306431
13.59149908874532,-1.6150600195331366,0.3152382631443218
12.27174860080603,-1.5958989780754431,0.30053650173536306
11.72005161985067,-1.57367618193929,0.29812600014119045
11.95747896662276,-1.5547060698832391,0.2895045253151979
12.032240417269778,-1.5359656286018604,0.30164264094000787
13.442486213218457,-1.515212402464497,0.29203739871477363
14.048069423147648,-1.5014881221663907,0.19857187433636342
14.116656848825638,-1.4866667488328003,0.2506891187032502
-2.666577448300659,-1.4696250173873615,0.25885786622735646
-2.268391130578394,-1.4525216028105248,0.24254114376023211
-3.5997449006203803,-1.4383110965994272,0.1855088787436656
-2.927222142587511,-1.4288565062214078,0.11280199702706982
-11.81694454085561,-1.4263558841701167,-0.015367206829567787
-11.967388020456653,-1.4277282025886386,-0.04090183050774687
-11.39961470616458,-1.4332128667509263,-0.11315707050148506
-9.021436824998485,-1.4445532049271088,-0.1906141786744397
-11.778130610289605,-1.4561921399873237,-0.14404857013341033
-9.280216625209329,-1.4684041116009958,-0.2812446647910459
-0.1358960692032667,-1.4853871122481737,-0.27221672057046153
0.7085552208261057,-1.5020275691274874,-0.29136832202397445
0.543764434604529,-1.5241918209712217,-0.36875852611778454
8.424493776917958,-1.5525214319469016,-0.5016223797813629
-2.43288751891825,-1.5934293130779158,-0.6107325902756212
-2.099721279772719,-1.631850152794115,-0.4166935628650478
-2.9653798501109514,-1.6642975628007144,-0.5142918409010674
-0.704446606764094,-1.6951893917434229,-0.38687761393335074
-3.679697747249028,-1.7213967350252326,-0.372448021679947
-2.5956862473790125,-1.7487845650302218,-0.39599836108856334
-3.5426838912427794,-1.770031821082926,-0.2400397650458799
-4.3717161074138176,-1.7843413729878412,-0.17722782620867075
-3.469075894285915,-1.7971845658965224,-0.2255412593684057
-3.099921044208344,-1.8093672534430896,-0.11346069874067191
-0.7111550938391166,-1.8138023659740887,-0.011068907787608495
-1.3211855294355708,-1.809148736736075,0.15562706701789294
-1.380690891342795,-1.7926895532837273,0.37462548072575225
-2.4365383315254707,-1.761408816274573,0.5067073242114307
-3.3485752781909532,-1.7247372461648167,0.5649299288035514
-4.850936538872841,-1.6877439037890287,0.564870018467164
-3.5314948267482653,-1.653325789356748,0.46373099517207644
-3.2145623323672403,-1.623055651642799,0.49421357254684645
-3.5802137688104256,-1.5912533995976197,0.3459061980439023
-4.728657413075868,-1.56696807548541,0.4429239174826971
-4.685077695710768,-1.5406249601196031,0.2985651060198491
-3.8371734057886497,-1.5270607890719776,0.16131194654146652
-3.920568169225012,-1.5189376726849215,0.13055992724463586
-3.8712088317091315,-1.5147576360149169,0.043163062167930595
-3.9217576200520554,-1.514136782980394,-0.00497326360781023
-4.625339084046095,-1.514777839049267,-0.021942547300409215
-5.30054371650387,-1.5175743889245965,-0.05907591840216666
-1.0080922292478147,-1.5213604099903553,-0.038756361148951944
-1.2465940938945668,-1.5234033685069501,-0.024019641899530764
-2.8190337177480598,-1.5254806875400968,-0.031860661447800004
-1.4884315420239327,-1.5276429564890195,-0.06217484217182094
-0.3746269763590473,-1.5318272257440013,-0.06292030064621186
-1.4926352899144657,-1.5357696898942357,-0.03238827162082049
-1.9307201743997728,-1.5372789886475218,-0.0254092284361371
0.7460427855719627,-1.539068187262667,-0.011404983427772247
8.596610447512578,-1.539640791850121,-0.041675349616983735
1.1770226601995526,-1.5419066920179365,-0.04274210053973347
-0.40607591213307836,-1.5483238113743916,-0.07657561854796623
0.2704144967871196,-1.5548199511408178,-0.08439099014957019
-0.992088059967947,-1.5605864431672494,-0.08950228593205958
-4.16460093362095,-1.5646282824037538,-0.05230793042878216
-5.321690592125547,-1.568435905709268,-0.09329349912184494
-5.197618288235973,-1.5735852950209113,-0.07150919185894081
-5.06398038923129,-1.5763714735596133,-0.032929623305766126
-5.6220519874160555,-1.578790599690945,-0.0414660054934507
-4.827452936052913,-1.5807573987465626,-0.011173297283013283
-4.973909800228309,-1.5806683377886663,0.022484986808925172
-3.6717466158131433,-1.5781542197868956,0.030531048039561737
-3.7502558291999053,-1.575988533389206,0.04067154388043089
-4.8954802316555694,-1.5713734478793016,0.08153895541435793
-5.180111337162717,-1.5640552421290608,0.13033856693178567
-4.163750763627515,-1.5559231431846687,0.11413017470528743
-5.136405254257401,-1.551008245904258,0.04261547812226782
-1.978325969869878,-1.5474591004158083,0.0598185044559598
5.123321412277701,-1.5431501480245917,0.07787567962541685
-13.659280358263448,-1.5379654365647586,0.08483794624913325
-11.911431316491978,-1.5312880695891737,0.12815252556876996
-11.64237314899735,-1.522610204783682,0.13910062859465344
-11.232237226056805,-1.514840817290426,0.11226144940651803
-11.483600851438576,-1.507552273069983,0.03572916347890864
2.7841478706602487,-1.5028866735639388,0.12131392955004135
10.347503525135872,-1.4947601807808437,0.13322983977733574
10.594277241467614,-1.4863295864223427,0.08546996207216076
-0.3186815691658741,-1.4786332904893378,0.09277977168109378
-1.0539533197133966,-1.4756453549955406,0.010079307616298907
-2.2913302599577836,-1.4761987363329312,-0.04535029869005552
-2.4371193715733863,-1.4805743716492026,-0.09234605275109176
