u(t),theta,theta_dot
0.0,-1.5727013030051837,-0.09186890330316771
0.0,-1.5744286043459765,-0.07936056644042314
0.0,-1.575854968790889,-0.060712916116385865
0.0,-1.576861700195154,-0.03744275773852889
0.0,-1.5773543536299606,-0.011160879577342714
0.0,-1.5772922485590444,0.01614783957277245
0.0,-1.576688468838685,0.04212443039350648
0.0,-1.5756096091718264,0.0640547293606257
0.0,-1.5741544328899697,0.08020060438681115
0.0,-1.572441624174313,0.08958533762140632
0.0,-1.5706126372070752,0.09152463469525161
0.0,-1.5688215129688465,0.08599492100956989
0.0,-1.5672123854451854,0.07351269030015425
0.0,-1.565909322790767,0.055203042132158736
0.0,-1.5650180440532129,0.032622576251595765
0.0,-1.5646151857241557,0.007558764191878453
0.0,-1.5647271622343453,-0.017940824895523788
0.0,-1.56533077369334,-0.04160688903725393
0.0,-1.5663700497574924,-0.061571911241707696
0.0,-1.5677604652997987,-0.07624501329680572
0.0,-1.569385885422789,-0.08450197162113238
0.23790842915265975,-1.5711046172651535,-0.08578339032334419
0.31806120881757116,-1.5739050537146448,-0.2783129737136745
0.08015277966491141,-1.5804699619171074,-0.315468631839965
0.0,-1.5862734547623127,-0.25985677883374825
0.0,-1.590746916959726,-0.1836805322209977
0.0,-1.5935407686567198,-0.0934021801392553
0.0,-1.594446396080703,0.0034532600093619276
0.0,-1.5934146941809713,0.09895522668126089
0.0,-1.59054656371318,0.18523579146482005
0.0,-1.5860938532866895,0.25538756168141463
0.0,-1.5804492887709043,0.30400601095945023
0.0,-1.574083532628806,0.32722733075636323
0.0,-1.5675170796837423,0.3232800268742635
0.0,-1.561293763954885,0.2930419551804631
0.0,-1.5559129938822056,0.23940665074397663
0.0,-1.5518181184537456,0.1667521974934324
0.004406543518337743,-1.5493267636651376,0.08110847789481421
0.004406543518337743,-1.5486269610953507,-0.013702669856698955
0.0,-1.5498023936406908,-0.10264109972410554
0.0,-1.5526770031467079,-0.1821821700891212
0.0,-1.5569987846723627,-0.245915422046402
0.0,-1.5623958034369707,-0.28896531199415487
0.0,-1.5684149755842243,-0.30789368017550134
0.0,-1.5745646515500957,-0.301294073087613
0.0,-1.580335775520627,-0.27024390916291646
